#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM10	PPIF	9606.ENSP00000260408	9606.ENSP00000225174	0	0	0.720	0	0.720
ADAM10	APH1A	9606.ENSP00000260408	9606.ENSP00000358105	0	0.322	0	0.300	0.505
ADAM10	VDAC2	9606.ENSP00000260408	9606.ENSP00000361635	0	0	0.540	0	0.540
ADAM10	VDAC3	9606.ENSP00000260408	9606.ENSP00000428845	0	0	0.540	0	0.540
ADAM10	SLC25A5	9606.ENSP00000260408	9606.ENSP00000360671	0	0	0.720	0	0.720
ADAM10	VDAC1	9606.ENSP00000260408	9606.ENSP00000378487	0	0	0.720	0	0.720
ADAM10	SLC25A4	9606.ENSP00000260408	9606.ENSP00000281456	0	0	0.720	0	0.720
ADAM10	SLC25A31	9606.ENSP00000260408	9606.ENSP00000281154	0	0	0.720	0	0.720
ADAM10	ADAM17	9606.ENSP00000260408	9606.ENSP00000309968	0	0	0.900	0.234	0.920
ADAM17	ADAM10	9606.ENSP00000309968	9606.ENSP00000260408	0	0	0.900	0.234	0.920
ADRM1	PSMA4	9606.ENSP00000478877	9606.ENSP00000044462	0	0.708	0.500	0.291	0.887
ADRM1	PSMC4	9606.ENSP00000478877	9606.ENSP00000157812	0	0.863	0.540	0.818	0.987
ADRM1	PSMD8	9606.ENSP00000478877	9606.ENSP00000215071	0	0.903	0.540	0.850	0.992
ADRM1	PSMA3	9606.ENSP00000478877	9606.ENSP00000216455	0	0.652	0.500	0.088	0.827
ADRM1	PSMD7	9606.ENSP00000478877	9606.ENSP00000219313	0	0.907	0.540	0.525	0.978
ADRM1	PSMA2	9606.ENSP00000478877	9606.ENSP00000223321	0	0.740	0.500	0	0.864
ADRM1	PSMB7	9606.ENSP00000478877	9606.ENSP00000259457	0	0.653	0.500	0.088	0.828
ADRM1	PSMC1	9606.ENSP00000478877	9606.ENSP00000261303	0	0.841	0.540	0.627	0.970
ADRM1	PSMA6	9606.ENSP00000478877	9606.ENSP00000261479	0	0.677	0.500	0.088	0.839
ADRM1	PSMD11	9606.ENSP00000478877	9606.ENSP00000261712	0	0.900	0.540	0.672	0.983
ADRM1	PSMB1	9606.ENSP00000478877	9606.ENSP00000262193	0	0.720	0.500	0.088	0.861
ADRM1	PSMD3	9606.ENSP00000478877	9606.ENSP00000264639	0	0.793	0.540	0.448	0.943
